txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-12,2026-02-17 00:00:00,0001193125-26-054736,RXO,"RXO, Inc.",0001929561,NYSE,4700,Transportation Services,"Transportation, Communications, Electric, Gas","MFN Partners, LP",0001732960,,false,false,true,P,532276.0,12.0,6387312.0,28109942.0,D,3200339093.725876,0.0019958235089906707
2026-02-12,2026-02-17 00:00:00,0001510281-26-000085,ASA,ASA Gold & Precious Metals Ltd,0001230869,NYSE,,,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,83533.0,69.69,5821414.77,5853141.0,I,1245077781.0500793,0.004675543053294476
2026-02-12,2026-02-17 00:00:00,0001213900-26-017612,CMII,Columbus Circle Capital Corp II,0002088805,NASDAQ,6770,Blank Checks,"Finance, Insurance, Real Estate",COLUMBUS CIRCLE 2 SPONSOR Corp LLC,0002098190,,false,false,true,P,265000.0,10.0,2650000.0,265000.0,D,310183491.34791756,0.008543330234901591
2026-02-12,2026-02-17 00:00:00,0001213900-26-017612,CMII,Columbus Circle Capital Corp II,0002088805,NASDAQ,6770,Blank Checks,"Finance, Insurance, Real Estate",COLUMBUS CIRCLE 2 SPONSOR Corp LLC,0002098190,,false,false,true,P,265000.0,10.0,2650000.0,265000.0,D,310183491.34791756,0.008543330234901591
2026-02-12,2026-02-17 00:00:00,0001193125-26-055615,SONO,Sonos Inc,0001314727,NASDAQ,3651,Household Audio & Video Equipment,Manufacturing,"Coliseum Capital Management, LLC",0001409751,,false,false,true,P,100000.0,16.11,1611000.0,15763353.0,I,1769575739.9783335,0.0009103877068408075
2026-02-12,2026-02-13 00:00:00,0001193125-26-052089,WRB,BERKLEY W R CORP,0000011544,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",MITSUI SUMITOMO INSURANCE CO LTD,0001142206,,false,false,true,P,17599.0,71.8808,1265030.1992,56574251.0,D,25819256344.956482,4.899560941255034e-05
2026-02-12,2026-02-12 00:00:00,0001708842-26-000005,MAT,MATTEL INC /DE/,0000063276,NASDAQ,3942,Dolls & Stuffed Toys,Manufacturing,Kreiz Ynon,0001708842,Chairman & CEO,true,true,false,P,65000.0,15.5277,1009300.5,1794217.0,D,4469537988.471985,0.0002258176354252339
2026-02-12,2026-02-12 00:00:00,0001628280-26-007802,AVTR,"Avantor, Inc.",0001722482,NYSE,3826,Laboratory Analytical Instruments,Manufacturing,SUMME GREGORY L,0001143422,,true,false,false,P,100000.0,9.4,940000.0,400000.0,I,5435985642.90897,0.00017292172234233052
2026-02-12,2026-02-13 00:00:00,0001216955-26-000011,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",MARCUS JOEL S,0001216955,Executive Chairman,true,true,false,P,17300.0,53.74,929702.0,555024.0,D,7887670093.673866,0.00011786775929506068
2026-02-12,2026-02-12 00:00:00,0001182336-26-000004,TSI,TCW STRATEGIC INCOME FUND INC,0000809559,NYSE,,,,McMillan Peter,0001182336,,true,false,false,P,179522.0,4.73,849139.06,200000.0,D,217901603.6656952,0.0038968922014119265
2026-02-12,2026-02-18 00:00:00,0001460471-26-000003,SAH,SONIC AUTOMOTIVE INC,0001043509,NYSE,5500,Retail-Auto Dealers & Gasoline Stations,Retail Trade,Rusnak Paul P.,0001460471,,false,false,true,P,11483.0,59.97,688635.51,5039979.0,D,2403360764.4992523,0.0002865302289078017
2026-02-12,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,78696.0,7.03,553232.88,1856876.0,D,87698153.24292326,0.006308375485029301
2026-02-12,2026-02-13 00:00:00,0001216955-26-000011,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",MARCUS JOEL S,0001216955,Executive Chairman,true,true,false,P,7700.0,54.31,418187.0,562724.0,D,7887670093.673866,5.3017810713888475e-05
2026-02-12,2026-02-13 00:00:00,0001336706-26-000004,NPB,NORTHPOINTE BANCSHARES INC,0001336706,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Williams Charles Alan,0002057567,CHAIRMAN & CEO,true,true,true,P,23450.0,16.8822,395887.59,54896.0,D,606061607.5932312,0.0006532134440459507
2026-02-12,2026-02-17 00:00:00,0001470831-26-000142,KVYO,"Klaviyo, Inc.",0001835830,NYSE,7372,Services-Prepackaged Software,Services,Ceran Jennifer,0001652155,,true,false,false,P,16339.0,18.38,300310.82,30691.0,D,5930904174.010956,5.063491352902868e-05
2026-02-12,2026-02-17 00:00:00,0001251859-26-000010,EKSO,"EKSO BIONICS HOLDINGS, INC.",0001549084,NASDAQ,3569,"General Industrial Machinery & Equipment, Nec",Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,30124.0,9.688,291841.31200000003,231600.0,I,40515641.56220341,0.007203176372067018
2026-02-12,2026-02-17 00:00:00,0001510281-26-000090,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",0001260563,NYSE,6163,SIC 6163,"Finance, Insurance, Real Estate","Saba Capital Management, L.P.",0001510281,,false,false,true,P,17176.0,13.76,236341.76,9868869.0,I,1324011790.7624207,0.00017850427137352354
2026-02-12,2026-02-13 00:00:00,0001772921-26-000024,ONEW,OneWater Marine Inc.,0001772921,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Singleton Philip Austin Jr.,0001789635,Executive Chairman,true,true,false,P,18008.0,12.52,225460.16,779776.0,I,176600911.62125778,0.001276664757447724
2026-02-12,2026-02-13 00:00:00,0001745916-26-000013,PFSI,"PennyMac Financial Services, Inc.",0001745916,NYSE,6162,Mortgage Bankers & Loan Correspondents,"Finance, Insurance, Real Estate",Kinsella Patrick,0001612388,,true,false,false,P,2250.0,89.15,200587.5,34210.0,D,4719286800.81868,4.2503774079846774e-05
2026-02-12,2026-02-13 00:00:00,0001437749-26-004143,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,NASDAQ,4731,Arrangement of Transportation of Freight & Cargo,"Transportation, Communications, Electric, Gas",Bozeman David P,0001575959,President & CEO,true,true,false,P,1223.0,163.345,199770.935,190600.0,D,22350537325.078766,8.938081984089212e-06
2026-02-12,2026-02-13 00:00:00,0001437749-26-004101,NRXS,"Neuraxis, INC",0001933567,AMEX,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Hannasch Brian,0001911504,,false,false,true,P,40000.0,4.92,196800.0,1211522.0,D,93539074.04669094,0.0021039335914504066
2026-02-12,2026-02-12 00:00:00,0000921895-26-000312,KVHI,KVH INDUSTRIES INC \DE\,0001007587,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",Radoff Bradley Louis,0001380585,,false,false,true,P,30000.0,6.2648,187944.0,2180000.0,D,188750862.286314,0.0009957252524489659
2026-02-12,2026-02-13 00:00:00,0001193125-26-052089,WRB,BERKLEY W R CORP,0000011544,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",MITSUI SUMITOMO INSURANCE CO LTD,0001142206,,false,false,true,P,2401.0,72.7573,174690.27730000002,56576652.0,D,25819256344.956482,6.765891122736535e-06
2026-02-12,2026-02-17 00:00:00,0000935836-26-000121,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,"LM Asset Management, Inc.",0002057190,,false,false,true,P,32000.0,5.3285,170512.0,177000.0,I,310629217.93270683,0.0005489245381834585
2026-02-12,2026-02-13 00:00:00,0001104659-26-015342,ZBIO,"Zenas BioPharma, Inc.",0001953926,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Allen Patricia L,0001348587,,true,false,false,P,5700.0,24.34,138738.0,10700.0,D,1159477717.477066,0.00011965559829979585
2026-02-12,2026-02-17 00:00:00,0000730708-26-000066,SBCF,SEACOAST BANKING CORP OF FLORIDA,0000730708,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SHEAROUSE JOSEPH B III,0001987247,,true,false,false,P,4000.0,33.19,132760.0,35500.0,D,3098434705.839758,4.284744156453622e-05
2026-02-12,2026-02-13 00:00:00,0001104659-26-015342,ZBIO,"Zenas BioPharma, Inc.",0001953926,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Allen Patricia L,0001348587,,true,false,false,P,5000.0,26.5,132500.0,15700.0,D,1159477717.477066,0.00011427558977874087
2026-02-12,2026-02-17 00:00:00,0001214659-26-002092,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,15397.0,8.5,130874.5,1645294.0,D,130050668.78726006,0.0010063346941651457
2026-02-12,2026-02-13 00:00:00,0001437749-26-004085,DMLP,"DORCHESTER MINERALS, L.P.",0001172358,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,DORCHESTER MINERALS OPERATING LP,0001646289,,false,false,false,P,5000.0,25.08,125399.99999999999,50017.0,D,1358390899.0920067,9.231510611843873e-05
2026-02-12,2026-02-13 00:00:00,0001104659-26-015342,ZBIO,"Zenas BioPharma, Inc.",0001953926,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Allen Patricia L,0001348587,,true,false,false,P,5000.0,23.77,118850.0,5000.0,D,1159477717.477066,0.00010250304788832719
2026-02-12,2026-02-13 00:00:00,0001437749-26-004142,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,NASDAQ,4731,Arrangement of Transportation of Freight & Cargo,"Transportation, Communications, Electric, Gas",RAJAN ARUN,0001880247,Chief Strat & Innov Officer,false,true,false,P,605.0,167.111,101102.155,133656.0,D,22350537325.078766,4.523477602775874e-06
2026-02-12,2026-02-13 00:00:00,0001437749-26-004141,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,NASDAQ,4731,Arrangement of Transportation of Freight & Cargo,"Transportation, Communications, Electric, Gas",Lee Damon J.,0002030164,Chief Financial Officer,false,true,false,P,620.0,162.5221,100763.70199999999,41364.0,D,22350537325.078766,4.508334655871406e-06
2026-02-12,2026-02-13 00:00:00,0001437749-26-004171,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,NASDAQ,4731,Arrangement of Transportation of Freight & Cargo,"Transportation, Communications, Electric, Gas",Castagnetto Michael D.,0001797376,"Pres, NAST",false,true,false,P,594.388,168.24,99999.83712000001,35488.388,D,22350537325.078766,4.474158077971291e-06
2026-02-12,2026-02-13 00:00:00,0001878127-26-000002,TENB,"Tenable Holdings, Inc.",0001660280,NASDAQ,7372,Services-Prepackaged Software,Services,Vicks Raymond Jr.,0001878127,,true,false,false,P,4500.0,22.17,99765.00000000001,16266.0,D,2442977043.072796,4.0837469301191145e-05
2026-02-12,2026-02-17 00:00:00,0001628280-26-008689,DIS,Walt Disney Co,0001744489,NYSE,7990,Services-Amusement & Recreation Services,Services,Chang Amy,0001551504,,true,false,false,P,916.0,107.85,98790.59999999999,14720.1,D,181315054046.72522,5.448560270927172e-07
2026-02-12,2026-02-13 00:00:00,0001628280-26-007896,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Harinstein Jason,0001842522,,true,false,false,P,13000.0,7.54,98020.0,13000.0,D,1020390679.6679535,9.606124590622172e-05
2026-02-12,2026-02-13 00:00:00,0001779272-26-000005,PNFP,"Pinnacle Financial Partners, Inc.",0002082866,NYSE,6021,National Commercial Banks,"Finance, Insurance, Real Estate",GREGORY ANDREW J. JR.,0001779272,Chief Financial Officer,false,true,false,P,1000.0,94.52,94520.0,49485.0,D,14756913509.999924,6.405133426847637e-06
2026-02-12,2026-02-13 00:00:00,0001104659-26-015211,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,3960.0,23.6448,93633.408,447658.0,D,149288296.6219635,0.0006271985823316341
2026-02-12,2026-02-17 00:00:00,0001251859-26-000010,EKSO,"EKSO BIONICS HOLDINGS, INC.",0001549084,NASDAQ,3569,"General Industrial Machinery & Equipment, Nec",Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,8908.0,9.1844,81814.6352,201476.0,I,40515641.56220341,0.0020193345593303887
2026-02-12,2026-02-13 00:00:00,0000785557-26-000017,DLHC,DLH Holdings Corp.,0000785557,NASDAQ,7363,Services-Help Supply Services,Services,Mink Brook Asset Management LLC,0002052205,,false,false,true,P,13577.0,5.5,74673.5,1950129.0,I,86668349.5764327,0.0008616005769689376
2026-02-12,2026-02-13 00:00:00,0001140536-26-000022,WTW,WILLIS TOWERS WATSON PLC,0001140536,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Hammond Michael P.,0001900425,,true,false,false,P,241.0,278.86,67205.26000000001,2504.655,D,27355911227.782562,2.456699739972346e-06
2026-02-12,2026-02-13 00:00:00,0001493152-26-006548,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Seizinger Bernd R.,0001789042,,true,false,false,P,40000.0,0.8466,33864.0,566991.0,D,112493349.56588852,0.00030103112877944403
2026-02-12,2026-02-13 00:00:00,0001026081-26-000004,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,642.0,48.07,30860.94,195151.0,I,411974196.0006714,7.490988586078751e-05
2026-02-12,2026-02-13 00:00:00,0001493152-26-006540,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Andrews Patricia S,0001445710,,true,false,false,P,35400.0,0.8557,30291.78,78128.0,D,112493349.56588852,0.00026927618492022756
2026-02-12,2026-02-13 00:00:00,0001493152-26-006547,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Pisano Wayne,0001743611,,true,false,false,P,30000.0,0.8446,25338.0,492414.0,D,112493349.56588852,0.00022523998172140186
2026-02-12,2026-02-13 00:00:00,0001493152-26-006545,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Kelly Jared,0002103581,Chief Executive Officer,true,true,false,P,29500.0,0.842,24839.0,109000.0,D,112493349.56588852,0.0002208041639426119
2026-02-12,2026-02-17 00:00:00,0001510281-26-000088,GF,NEW GERMANY FUND INC,0000858706,NYSE,0000,SIC 0000,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,1940.0,12.02,23318.8,2364705.0,I,187038263.58930588,0.0001246739546898428
2026-02-12,2026-02-13 00:00:00,0001493152-26-006542,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Brown Deborah Margaret,0002103580,,true,false,false,P,25000.0,0.8496,21240.0,109851.0,D,112493349.56588852,0.00018881116156612896
2026-02-12,2026-02-13 00:00:00,0001026081-26-000004,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,390.0,48.09,18755.100000000002,114589.0,I,411974196.0006714,4.552493865409337e-05
2026-02-12,2026-02-13 00:00:00,0000902664-26-001004,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,7956.0,1.7205,13688.297999999999,618310.0,I,7849070.581154823,0.001743938706942556
2026-02-12,2026-02-12 00:00:00,0002039852-26-000041,TBBK,"Bancorp, Inc.",0001295401,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Cohn Matthew,0001312736,,true,false,false,P,230.0,56.7796,13059.308,2675.0,I,2483528859.55307,5.258367725330207e-06
2026-02-12,2026-02-13 00:00:00,0001193125-26-051452,SRZN,"Surrozen, Inc./DE",0001824893,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"TCG Crossover GP II, LLC",0001969280,,false,false,true,P,547.0,23.8625,13052.7875,651114.0,I,352290118.5741577,3.705124501598067e-05
2026-02-12,2026-02-13 00:00:00,0001193125-26-051452,SRZN,"Surrozen, Inc./DE",0001824893,NASDAQ,2836,"Biological Products, (No Diagnostic Substances)",Manufacturing,"TCG Crossover GP II, LLC",0001969280,,false,false,true,P,546.0,23.8625,13028.925000000001,651112.0,I,352290118.5741577,3.698350965032075e-05
2026-02-12,2026-02-12 00:00:00,0002074050-26-000005,GRF,"EAGLE CAPITAL GROWTH FUND, INC.",0000850027,AMEX,,,,Zalenko Neal F.,0001443703,,true,false,false,P,1000.0,10.99,10990.0,22616.96,D,40075145.113609314,0.00027423481484207656
2026-02-12,2026-02-13 00:00:00,0001026081-26-000004,BWFG,"Bankwell Financial Group, Inc.",0001505732,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SEIDMAN LAWRENCE B,0001026081,,true,false,false,P,218.0,48.13,10492.34,133588.0,I,411974196.0006714,2.546843977573513e-05
2026-02-12,2026-02-13 00:00:00,0001493152-26-006546,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Look Kirk,0002103582,Chief Financial Officer,false,true,false,P,12000.0,0.842,10104.0,287515.0,D,112493349.56588852,8.981864295970654e-05
2026-02-12,2026-02-13 00:00:00,0001493152-26-006544,ONCY,ONCOLYTICS BIOTECH INC,0001129928,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heineman Thomas Charles,0002103579,Chief Medical Officer,false,true,false,P,12132.0,0.827,10033.163999999999,282818.0,D,112493349.56588852,8.918895240223486e-05
2026-02-12,2026-02-13 00:00:00,0001104659-26-015211,AXR,AMREP CORP.,0000006207,NYSE,6552,Land Subdividers & Developers (No Cemeteries),"Finance, Insurance, Real Estate",DAHL JAMES H,0000933422,,false,false,true,P,398.0,24.3248,9681.2704,448056.0,D,149288296.6219635,6.484949335657218e-05
